"time/s";"Ewe/V";"Ece/V";"Ewe-Ece/V";"I/mA";"(Q-Qo)/mA.h";"Q charge/mA.h";"Q discharge/mA.h";"cycle number";"Efficiency/%";"|Ewe|/V";"|Ece|/V";"freq/Hz";"Re(Z)/Ohm";"-Im(Z)/Ohm";"|Z|/Ohm";"Phase(Z)/deg"
1770,0002;-2,510874032974243E+000;-2,985304892063141E-001;-2,212343454360962E+000;-1,103074110537479E+001;-1,746519266653591E+000;0,000000000000000E+000;1,746519266653590E+000;0,000000000000000E+000;;;;;;;;
1800,0002;-2,511675596237183E+000;-2,972522675991058E-001;-2,214423418045044E+000;-1,103091300326096E+001;-1,838443539358563E+000;0,000000000000000E+000;1,838443539358563E+000;0,000000000000000E+000;;;;;;;;
1830,0002;-2,513755321502686E+000;-2,972522675991058E-001;-2,216503143310547E+000;-1,103085295417065E+001;-1,930367311654462E+000;0,000000000000000E+000;1,930367311654461E+000;0,000000000000000E+000;;;;;;;;
1860,0002;-2,515625238418579E+000;-2,972331643104553E-001;-2,218392133712769E+000;-1,103088394469572E+001;-2,022291342204730E+000;0,000000000000000E+000;2,022291342204729E+000;0,000000000000000E+000;;;;;;;;
1890,0002;-2,516484022140503E+000;-2,961075603961945E-001;-2,220376491546631E+000;-1,103091315671988E+001;-2,114215616188526E+000;0,000000000000000E+000;2,114215616188526E+000;0,000000000000000E+000;;;;;;;;
1920,0002;-2,521941184997559E+000;-2,995988726615906E-001;-2,222342252731323E+000;-1,103076926963510E+001;-2,206138691113313E+000;0,000000000000000E+000;2,206138691113313E+000;0,000000000000000E+000;;;;;;;;
1950,0002;-2,519040822982788E+000;-2,946194708347321E-001;-2,224421262741089E+000;-1,103098813957471E+001;-2,298063589954217E+000;0,000000000000000E+000;2,298063589954217E+000;0,000000000000000E+000;;;;;;;;
1980,0001;-2,520052194595337E+000;-2,937800288200378E-001;-2,226272106170654E+000;-1,103105998189728E+001;-2,389989087481128E+000;0,000000000000000E+000;2,389989087481127E+000;0,000000000000000E+000;;;;;;;;
2010,0001;-2,520242929458618E+000;-2,921774685382843E-001;-2,228065490722656E+000;-1,103122238550399E+001;-2,481915938371393E+000;0,000000000000000E+000;2,481915938371393E+000;0,000000000000000E+000;;;;;;;;
2040,0001;-2,521521329879761E+000;-2,915287911891937E-001;-2,229992628097534E+000;-1,103125807717944E+001;-2,573843086692280E+000;0,000000000000000E+000;2,573843086692280E+000;0,000000000000000E+000;;;;;;;;
